Version.[Version Name],Location.[Location],Item.[Item],forecast_accuracy,baseline_forecast,actual_sales
Baseline FY26,North America,NK-AP-IC-7267,0.8772547994192549,4771.091692394448,2992.2469576354156
Baseline FY26,EMEA,NK-AP-SFJ-6270,0.8764692806403059,19466.91467996134,1778.3852261286163
Baseline FY26,North America,NK-JD-SL3-6270,0.9018734951146723,14535.774774518657,600.6147387975518
Baseline FY26,North America,NK-BK-KD16-4343,0.9040435682818504,12615.368727221483,8805.231682347021
Baseline FY26,Greater China,NK-RA-RM-6972,0.8639433563813004,13524.27452339665,19503.509313840543
Baseline FY26,North America,NK-AM-270-6395,0.8534528561916388,5299.30742993349,7251.137275886772
Baseline FY26,North America,NK-CV-L-4209,0.8645413439762516,2323.2514944516574,19723.2324238254
Baseline FY26,Greater China,NK-CV-L-3082,0.9500558860905481,5718.13095681416,4014.65725325656
Baseline FY26,Greater China,NK-VF-3-4153,0.9267106367689247,6496.328298452413,18182.63342694841
Baseline FY26,North America,NK-AM-90-8250,0.9471615761122483,11254.2812253797,13648.773683454892
Baseline FY26,EMEA,NK-AP-YLL-4425,0.9136355670528588,10911.682687777151,5971.67144459624
Baseline FY26,APLA,NK-AM-270-9966,0.8695342301646024,2457.3041269949117,12172.582490703116
Baseline FY26,North America,NK-AP-TJ-3148,0.8810425750372423,4281.7976346499945,18218.091480135743
Baseline FY26,EMEA,NK-AP-IC-5112,0.9449806145418053,9274.721286705702,8630.44217266976
Baseline FY26,EMEA,NK-AP-YLL-2294,0.9451781641574096,19015.8202659125,2267.7213078562454
Baseline FY26,Greater China,NK-VF-3-2576,0.9401546701256455,9272.87180797349,17836.433824066044
Baseline FY26,Greater China,NK-JD-SL3-9847,0.9563562286959261,13664.160741410213,6261.350480364476
Baseline FY26,Greater China,NK-AP-PDF-9847,0.9240511098982965,3672.8968678258807,5173.6214026183325
Baseline FY26,Greater China,NK-IV-3-7326,0.898116481343243,4430.197758141818,12688.824086851539
Baseline FY26,EMEA,NK-JD-SL3-7117,0.8982394389754716,12408.752636614227,7665.838135985082
Baseline FY26,North America,NK-AP-IC-5748,0.8783366210721394,10220.854255353264,5130.944205794589
Baseline FY26,North America,NK-VF-3-9189,0.9119651909156001,14953.456866953347,5436.276058569547
Baseline FY26,North America,NK-AP-ACG-2924,0.8508637941344345,8417.821169197676,2873.7351170319102
Baseline FY26,Greater China,NK-VF-3-6512,0.9684216386162403,579.3883718879251,3899.78120398812
Baseline FY26,North America,NK-AP-ACG-4059,0.9108388910636779,6617.002245318812,3853.5101682149225
Baseline FY26,EMEA,NK-RA-RM-3810,0.9744051918472061,3188.914744651119,16381.378075249288
Baseline FY26,APLA,NK-RA-RW-4906,0.8595947130054121,4725.883393196568,12517.465392369924
Baseline FY26,APLA,NK-AP-ECT-2123,0.8748680744141242,10319.142497889301,2171.3750323915892
Baseline FY26,North America,NK-VF-3-9175,0.9318149671347892,6690.27119142141,6157.632759051495
Baseline FY26,Greater China,NK-RA-RW-5325,0.8608294862192007,5748.516683172981,15377.739482229235
Baseline FY26,EMEA,NK-AM-270-6906,0.9741481720938122,1734.2845764021959,10990.377841972198
Baseline FY26,APLA,NK-AP-TJ-2946,0.9387406291973055,18044.05382913404,10620.526683721844
Baseline FY26,APLA,NK-IV-3-3047,0.9033901218665225,1937.9478235096526,6676.691822182283
Baseline FY26,Greater China,NK-MT-9-9433,0.9539414912818108,16440.760874219668,19732.6176234071
Baseline FY26,EMEA,NK-AP-SFJ-6947,0.9133971018283004,17819.468197807095,767.7331477660389
Baseline FY26,Greater China,NK-AP-YLL-6471,0.97268481248903,13617.351355843875,6041.9909362002
Baseline FY26,Greater China,NK-AP-PDF-2863,0.8961631478514234,12025.326412941586,7901.583483577874
Baseline FY26,Greater China,NK-AP-IC-6351,0.9413435036176653,4685.198556769034,10603.511757092174
Baseline FY26,EMEA,NK-BK-JA1-9905,0.8614122475816366,10746.076545958216,5973.266503373663
Baseline FY26,North America,NK-AM-90-1606,0.8937550948236214,15582.171800093205,7163.511789852191
Baseline FY26,North America,NK-RA-RM-1862,0.9086466805521048,15057.938023334693,4064.2959610673624
Baseline FY26,North America,NK-BK-KD16-5735,0.9206878958554434,779.7730784787177,7229.262212066437
Baseline FY26,North America,NK-AM-PLS-5134,0.8861918842595761,10076.160206907984,15081.28954564641
Baseline FY26,EMEA,NK-CV-L-7817,0.9638303064404588,732.4479307645433,912.7730109836195
Baseline FY26,Greater China,NK-BZ-77-5803,0.9534314953463889,5382.149900362787,1455.834761905397
Baseline FY26,APLA,NK-AP-ACG-7734,0.9535920806358879,7189.716732789734,17532.76483503098
Baseline FY26,Greater China,NK-RA-RM-4228,0.929563488692127,18996.797634084563,3043.9653113449826
Baseline FY26,EMEA,NK-AM-PLS-7308,0.8743828884421829,11229.871787440015,19026.682844567094
Baseline FY26,North America,NK-AP-PDF-2118,0.9149430269626276,18296.12897289035,18456.36971519664
Baseline FY26,Greater China,NK-JD-SL3-6379,0.9436957126880617,1222.1378717165862,15164.031018553245
Baseline FY26,APLA,NK-RA-RM-5222,0.9055289119053671,17390.61402829769,8425.833342217724
Baseline FY26,EMEA,NK-AP-IC-9956,0.8783277582385325,4321.900155107796,17020.64262557957
Baseline FY26,APLA,NK-AM-PLS-3326,0.938807924062491,4374.087295669522,16150.554480839068
Baseline FY26,APLA,NK-VF-3-1761,0.8668959457765495,12007.536123225455,3926.894698850678
Baseline FY26,Greater China,NK-AP-IC-6085,0.9658237413993785,2580.6219727171474,6959.8500142849225
Baseline FY26,EMEA,NK-AP-TJ-3106,0.8869554069256863,18459.933577137934,9619.81976496605
Baseline FY26,Greater China,NK-ZP-40-4704,0.8892711583171011,5794.287718566941,9522.868729975264
Baseline FY26,APLA,NK-BK-JA1-3909,0.8902941415870359,7129.054677778227,4487.83409214984
Baseline FY26,North America,NK-AP-SFJ-5179,0.9107019661800702,10307.283071803913,13893.161634318176
Baseline FY26,Greater China,NK-RT-3-5509,0.9423158550318667,8018.730506582691,6680.949749635447
Baseline FY26,APLA,NK-RA-RM-8233,0.8681601654438297,9541.592958961137,9725.676479321148
Baseline FY26,Greater China,NK-RA-RM-6803,0.8635340741282033,3522.929361736216,18468.352359934433
Baseline FY26,EMEA,NK-AP-IC-4170,0.9096920952102139,10350.339052628153,18595.043382770335
