Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Day],Item.[Item],D Base Forecast LC,D Base Forecast Quantity,D Base Forecast Supply Code,D Buff1 Forecast Quantity,D Buff2 Forecast Quantity,product_name,category,lifecycle_stage,ai_forecast,actual_sales,forecast_accuracy,inventory_on_hand,safety_stock,on_promo
Baseline FY26,North America,Digital,2026-03-01,NK-AP-IC-7267,15828.6035695064,13190.502974588668,NORM,2474.608806357026,2969.530567628431,Sportswear Icon Clash,Apparel,Decline,14017.988980291948,12373.044031785128,0.86705414251488,23616.005567132474,2474.608806357026,0
Baseline FY26,EMEA,Digital,2026-03-08,NK-AP-SFJ-6270,15483.455804992742,12902.879837493952,NORM,2833.076375774619,3399.691650929543,Storm-FIT Jacket,Apparel,Mature,13651.848491468803,14165.381878873095,0.9637472966281129,17279.860033221288,2833.076375774619,0
Baseline FY26,North America,Direct-to-Consumer,2026-03-15,NK-JD-SL3-6270,9436.23034475593,7863.525287296608,NORM,1468.5757562444578,1762.2909074933493,Jordan Stay Loyal 3,Footwear,New Launch,8350.997755258568,7342.878781222289,0.8627079372991544,7405.571625626119,1468.5757562444578,0
Baseline FY26,North America,Digital,2026-03-22,NK-BK-KD16-4343,8328.601003681904,6940.500836401587,NORM,1316.027715691619,1579.2332588299428,KD16,Footwear,Decline,7121.883990999562,6580.138578458095,0.9176696043583306,7818.115121726764,1316.027715691619,0
Baseline FY26,Greater China,Wholesale,2026-03-29,NK-RA-RM-6972,8368.098752638563,6973.415627198803,NORM,1311.0109730960944,1573.2131677153131,Dri-FIT Running Shirt M,Apparel,Decline,7634.732625149553,6555.054865480472,0.8352908126894917,13811.580291441574,1311.0109730960944,1
Baseline FY26,North America,Digital,2026-04-05,NK-AM-270-6395,13451.472438043067,11209.56036503589,NORM,2044.037604101031,2452.845124921237,Air Max 270,Footwear,Decline,11843.58314099597,10220.188020505155,0.8411579985384089,22854.676633626797,2044.037604101031,0
Baseline FY26,North America,Wholesale,2026-04-12,NK-CV-L-4209,4893.021930515174,4077.518275429312,NORM,861.9005445288105,1034.2806534345725,Court Vision Low,Footwear,New Launch,4013.7020579591244,4309.5027226440525,0.9313608358730906,5961.229779803617,861.9005445288105,0
Baseline FY26,Greater China,Wholesale,2026-04-19,NK-CV-L-3082,17992.174788547123,14993.478990455937,NORM,3180.732475598422,3816.878970718106,Court Vision Low,Footwear,New Launch,16058.404794123171,15903.662377992108,0.990270013758265,18023.639929592646,3180.732475598422,0
Baseline FY26,Greater China,Wholesale,2026-04-26,NK-VF-3-4153,6942.072540042093,5785.060450035078,NORM,1317.7274651769942,1581.272958212393,Vaporfly 3,Footwear,Decline,5932.871150192077,6588.637325884971,0.9004701361969696,11342.364005799694,1317.7274651769942,0
Baseline FY26,North America,Digital,2026-05-03,NK-AM-90-8250,816.7447656278956,680.6206380232463,NORM,148.05165811111104,177.66198973333323,Air Max 90,Footwear,Growth,687.6213576646688,740.2582905555552,0.9288938285967957,849.8518829904549,148.05165811111104,0
Baseline FY26,EMEA,Direct-to-Consumer,2026-05-10,NK-AP-YLL-4425,18401.20376800355,15334.336473336292,NORM,3161.111806401133,3793.3341676813593,Yoga Luxe Leggings,Apparel,New Launch,14336.318507423322,15805.559032005664,0.9070427992070901,31983.097104885568,3161.111806401133,0
Baseline FY26,APLA,Wholesale,2026-05-17,NK-AM-270-9966,21003.318436678106,17502.765363898423,NORM,3682.9603107181774,4419.552372861813,Air Max 270,Footwear,New Launch,18835.544983744334,18414.801553590885,0.9771518889883772,43086.95785125091,3682.9603107181774,0
Baseline FY26,North America,Wholesale,2026-03-01,NK-AP-TJ-3148,22848.317748775502,19040.26479064625,NORM,3843.3730284875255,4612.047634185031,Tech Fleece Joggers M,Apparel,Decline,19405.443321298906,19216.865142437626,0.9901868396607086,57596.86839760755,3843.3730284875255,0
Baseline FY26,EMEA,Digital,2026-03-08,NK-AP-IC-5112,10487.542335527298,8739.618612939415,NORM,1499.4083432800282,1799.2900119360338,Sportswear Icon Clash,Apparel,Mature,8825.521788367829,7497.041716400141,0.8227994291319504,18106.320754026685,1499.4083432800282,0
Baseline FY26,EMEA,Wholesale,2026-03-15,NK-AP-YLL-2294,20469.807142595302,17058.17261882942,NORM,3732.895264198068,4479.474317037681,Yoga Luxe Leggings,Apparel,Growth,18019.498060628615,18664.47632099034,0.96544353834153,37789.28703214428,3732.895264198068,0
Baseline FY26,Greater China,Direct-to-Consumer,2026-03-22,NK-VF-3-2576,1876.0988489616373,1563.415707468031,NORM,266.41414282167,319.696971386004,Vaporfly 3,Footwear,Decline,1514.366256747429,1332.0707141083499,0.8631487497560499,2738.60409564303,266.41414282167,0
Baseline FY26,Greater China,Wholesale,2026-03-29,NK-JD-SL3-9847,22309.05811649882,18590.881763749017,NORM,4077.311014488265,4892.773217385918,Jordan Stay Loyal 3,Footwear,Growth,19911.40287616823,20386.555072441322,0.976692864754016,52837.51066471468,4077.311014488265,0
Baseline FY26,Greater China,Wholesale,2026-04-05,NK-AP-PDF-9847,19709.27952854814,16424.39960712345,NORM,2811.8080568410533,3374.169668209264,Pro Dri-FIT Tight,Apparel,New Launch,17996.91750637976,14059.040284205264,0.7199042649732974,36082.61865577425,2811.8080568410533,0
Baseline FY26,Greater China,Wholesale,2026-04-12,NK-IV-3-7326,23568.754277065127,19640.62856422094,NORM,3807.9464441472915,4569.535732976749,Invincible 3,Footwear,New Launch,20092.03730426539,19039.732220736456,0.944731098561205,27970.968581105695,3807.9464441472915,0
Baseline FY26,EMEA,Wholesale,2026-04-19,NK-JD-SL3-7117,12329.6873789028,10274.739482419,NORM,2147.017775072214,2576.421330086657,Jordan Stay Loyal 3,Footwear,Decline,9542.400657343564,10735.08887536107,0.8888981514857378,21110.19330282332,2147.017775072214,0
Baseline FY26,North America,Direct-to-Consumer,2026-04-26,NK-AP-IC-5748,22491.623520932153,18743.019600776795,NORM,3346.8552461652653,4016.226295398318,Sportswear Icon Clash,Apparel,New Launch,20427.67309343387,16734.276230826326,0.7792915085383907,18326.576108157158,3346.8552461652653,0
Baseline FY26,North America,Digital,2026-05-03,NK-VF-3-9189,6788.926723188312,5657.438935990261,NORM,1266.2524204264346,1519.5029045117215,Vaporfly 3,Footwear,Growth,5803.364618016227,6331.262102132173,0.9166204975247879,10026.220672305832,1266.2524204264346,0
Baseline FY26,North America,Wholesale,2026-05-10,NK-AP-ACG-2924,9149.38684874136,7624.4890406178,NORM,1639.7110060215728,1967.6532072258872,ACG Mountain Fly,Apparel,Growth,7438.729146346746,8198.555030107864,0.9073219755224207,14857.452734253022,1639.7110060215728,0
Baseline FY26,Greater China,Wholesale,2026-05-17,NK-VF-3-6512,6278.92618189833,5232.438484915275,NORM,1159.6940372060517,1391.632844647262,Vaporfly 3,Footwear,Growth,5472.103762866808,5798.470186030258,0.9437150812726888,17070.629622018794,1159.6940372060517,1
Baseline FY26,North America,Wholesale,2026-03-01,NK-AP-ACG-4059,11189.293073710867,9324.410894759056,NORM,1654.7878173800254,1985.7453808560304,ACG Mountain Fly,Apparel,Growth,8822.474556623041,8273.939086900127,0.9337032260013379,15576.702068531291,1654.7878173800254,0
Baseline FY26,EMEA,Digital,2026-03-08,NK-RA-RM-3810,13297.578344525336,11081.315287104448,NORM,2161.3664058041627,2593.6396869649952,Dri-FIT Running Shirt M,Apparel,Growth,10795.522839454512,10806.832029020814,0.9989535148195204,20036.6649959249,2161.3664058041627,1
Baseline FY26,APLA,Digital,2026-03-15,NK-RA-RW-4906,17998.008171336103,14998.340142780085,NORM,3281.8391504291744,3938.206980515009,Dri-FIT Running Shirt W,Apparel,Decline,14402.299804909764,16409.19575214587,0.8776968732929119,39793.78942594495,3281.8391504291744,0
Baseline FY26,APLA,Direct-to-Consumer,2026-03-22,NK-AP-ECT-2123,13060.298671583065,10883.58222631922,NORM,2030.1825067769944,2436.2190081323934,Element Crew Top,Apparel,Mature,9802.655699067545,10150.912533884972,0.9656920662398673,22927.795633169077,2030.1825067769944,1
Baseline FY26,North America,Wholesale,2026-03-29,NK-AP-IC-5748,7298.938888687135,6082.449073905946,NORM,1250.8394996016107,1501.0073995219327,Sportswear Icon Clash,Apparel,Growth,5765.107358949886,6254.197498008053,0.9217980981230699,16067.70816504782,1250.8394996016107,0
Baseline FY26,North America,Direct-to-Consumer,2026-04-05,NK-VF-3-9175,6965.24658570065,5804.372154750542,NORM,1022.8235448767833,1227.38825385214,Vaporfly 3,Footwear,New Launch,5944.403296217585,5114.1177243839165,0.8376483263428022,5345.546035964607,1022.8235448767833,0
Baseline FY26,Greater China,Direct-to-Consumer,2026-04-12,NK-RA-RW-5325,21192.429434529775,17660.357862108147,NORM,3450.4469480050193,4140.536337606023,Dri-FIT Running Shirt W,Apparel,Decline,17269.24838990588,17252.234740025095,0.999013829214756,44256.71390949716,3450.4469480050193,0
Baseline FY26,EMEA,Wholesale,2026-04-19,NK-AM-270-6906,19215.269471165884,16012.724559304905,NORM,2896.7554214222964,3476.106505706756,Air Max 270,Footwear,Decline,14693.042278878016,14483.777107111482,0.9855517541992699,32196.730016953457,2896.7554214222964,1
Baseline FY26,APLA,Digital,2026-04-26,NK-AP-TJ-2946,8279.927829336475,6899.939857780397,NORM,1228.0754707656845,1473.6905649188213,Tech Fleece Joggers M,Apparel,Growth,6535.287478943612,6140.377353828422,0.9356863426530342,16134.056603922472,1228.0754707656845,0
Baseline FY26,APLA,Digital,2026-05-03,NK-IV-3-3047,1872.637107620857,1560.530923017381,NORM,348.5126890922402,418.2152269106882,Invincible 3,Footwear,Decline,1711.51830862801,1742.563445461201,0.9821842143457943,4239.7716735691765,348.5126890922402,0
Baseline FY26,Greater China,Wholesale,2026-05-10,NK-MT-9-9433,16121.78979175927,13434.82482646606,NORM,2473.9926077867217,2968.791129344066,Metcon 9 Amp,Footwear,Growth,14712.64129718856,12369.963038933607,0.8106155813981388,24517.98297724937,2473.9926077867217,0
Baseline FY26,EMEA,Direct-to-Consumer,2026-05-17,NK-AP-SFJ-6947,14472.992547157748,12060.827122631457,NORM,2204.2306127796937,2645.0767353356323,Storm-FIT Jacket,Apparel,Mature,12673.83027581554,11021.153063898468,0.8500449814701623,20780.292706162734,2204.2306127796937,0
Baseline FY26,Greater China,Direct-to-Consumer,2026-03-01,NK-AP-YLL-6471,21374.07394800678,17811.72829000565,NORM,3258.4994888881083,3910.19938666573,Yoga Luxe Leggings,Apparel,Mature,18363.6565000411,16292.49744444054,0.8728765149318899,25437.80755600213,3258.4994888881083,0
Baseline FY26,Greater China,Digital,2026-03-08,NK-AP-PDF-2863,4875.8615922526,4063.217993543833,NORM,782.318921039654,938.7827052475848,Pro Dri-FIT Tight,Apparel,New Launch,3817.1664335365363,3911.59460519827,0.9758594176563582,6145.801742033362,782.318921039654,0
Baseline FY26,Greater China,Wholesale,2026-03-15,NK-AP-IC-6351,9851.488738174206,8209.573948478506,NORM,1590.9166285541748,1909.0999542650097,Sportswear Icon Clash,Apparel,New Launch,8280.572722322271,7954.583142770874,0.959018647023929,19758.695329925944,1590.9166285541748,0
Baseline FY26,EMEA,Wholesale,2026-03-22,NK-BK-JA1-9905,12501.23701368149,10417.697511401242,NORM,1884.2532303772962,2261.1038764527552,Ja 1,Footwear,Growth,10080.821486233512,9421.26615188648,0.9299929198778697,23164.770712151087,1884.2532303772962,0
Baseline FY26,North America,Wholesale,2026-03-29,NK-AM-90-1606,13950.7816979182,11625.651414931834,NORM,2273.1069358053564,2727.7283229664276,Air Max 90,Footwear,New Launch,12183.228295032935,11365.534679026781,0.928054980333211,32609.69728925392,2273.1069358053564,0
Baseline FY26,North America,Digital,2026-04-05,NK-RA-RM-1862,21799.862339041614,18166.551949201345,NORM,3910.3146547009183,4692.377585641102,Dri-FIT Running Shirt M,Apparel,Decline,18936.813789508127,19551.57327350459,0.9685570324496824,53838.225067163876,3910.3146547009183,0
Baseline FY26,North America,Direct-to-Consumer,2026-04-12,NK-BK-KD16-5735,13297.640099378725,11081.366749482271,NORM,2118.4979927258955,2542.1975912710745,KD16,Footwear,Mature,10868.569679034566,10592.489963629478,0.9739362778390124,19583.264685354196,2118.4979927258955,0
Baseline FY26,North America,Digital,2026-04-19,NK-AM-PLS-5134,3350.561963943776,2792.1349699531465,NORM,546.2347680234086,655.4817216280903,Air Max Plus,Footwear,Decline,2871.921550286526,2731.173840117043,0.9484662206037198,3638.1181210575255,546.2347680234086,1
Baseline FY26,EMEA,Digital,2026-04-26,NK-CV-L-7817,5419.527071364141,4516.272559470118,NORM,819.1533654630889,982.9840385557067,Court Vision Low,Footwear,Growth,4851.8907723458115,4095.7668273154445,0.8153889181416205,5696.662605668448,819.1533654630889,0
Baseline FY26,EMEA,Digital,2026-05-03,NK-JD-SL3-7117,2371.3972656371966,1976.1643880309973,NORM,353.8357426398711,424.6028911678453,Jordan Stay Loyal 3,Footwear,Growth,2038.9526728122735,1769.1787131993553,0.8475145797311436,3275.3038198198974,353.8357426398711,0
Baseline FY26,Greater China,Digital,2026-05-10,NK-BZ-77-5803,18014.191787185133,15011.826489320943,NORM,3036.3048726442375,3643.565847173085,Blazer Mid '77,Footwear,Mature,13821.962254717215,15181.524363221186,0.91044627166705,36120.00274473,3036.3048726442375,0
Baseline FY26,APLA,Digital,2026-05-17,NK-AP-ACG-7734,13056.818855781316,10880.682379817763,NORM,2374.3855919586354,2849.2627103503623,ACG Mountain Fly,Apparel,Mature,10369.69287695771,11871.927959793176,0.8734632582068298,27039.4005585035,2374.3855919586354,0
Baseline FY26,Greater China,Wholesale,2026-03-01,NK-RA-RM-4228,11635.250211180562,9696.04184265047,NORM,2049.2515421768503,2459.1018506122205,Dri-FIT Running Shirt M,Apparel,New Launch,8846.344041576398,10246.25771088425,0.8633731740105686,13234.994848125276,2049.2515421768503,0
Baseline FY26,EMEA,Direct-to-Consumer,2026-03-08,NK-AM-PLS-7308,8907.712581269401,7423.093817724501,NORM,1298.715805941802,1558.4589671301624,Air Max Plus,Footwear,Decline,7885.3772704564835,6493.57902970901,0.7856654651649257,11608.642350757727,1298.715805941802,0
Baseline FY26,North America,Direct-to-Consumer,2026-03-15,NK-AP-PDF-2118,15762.770737746343,13135.642281455286,NORM,2389.453681151864,2867.3444173822368,Pro Dri-FIT Tight,Apparel,Decline,12613.525601614509,11947.268405759321,0.9442335123622058,17992.978130049287,2389.453681151864,0
Baseline FY26,Greater China,Digital,2026-03-22,NK-JD-SL3-6379,14677.184329004687,12230.98694083724,NORM,2146.329377346472,2575.5952528157663,Jordan Stay Loyal 3,Footwear,Growth,13320.180415735449,10731.64688673236,0.7587943811118759,22167.092197482987,2146.329377346472,0
Baseline FY26,APLA,Wholesale,2026-03-29,NK-RA-RM-5222,1872.9548236344083,1560.795686362007,NORM,347.1237510474827,416.54850125697925,Dri-FIT Running Shirt M,Apparel,Decline,1624.7619967188289,1735.6187552374133,0.9361283932983194,3785.0956946043066,347.1237510474827,0
Baseline FY26,EMEA,Wholesale,2026-04-05,NK-AP-IC-9956,15580.725337380647,12983.93778115054,NORM,2434.0410120992137,2920.849214519056,Sportswear Icon Clash,Apparel,New Launch,13991.357795322521,12170.205060496068,0.8503597329893945,24928.51913489434,2434.0410120992137,0
Baseline FY26,APLA,Wholesale,2026-04-12,NK-AM-PLS-3326,11354.355026780433,9461.962522317028,NORM,1626.3127416127118,1951.575289935254,Air Max Plus,Footwear,Growth,10039.636175656537,8131.563708063558,0.7653498716734072,18726.332381343353,1626.3127416127118,0
Baseline FY26,APLA,Direct-to-Consumer,2026-04-19,NK-VF-3-1761,20761.84629434909,17301.53857862424,NORM,3520.6095176191297,4224.731421142956,Vaporfly 3,Footwear,New Launch,16690.557187799906,17603.047588095647,0.94816293055341,28563.058552288814,3520.6095176191297,0
Baseline FY26,Greater China,Wholesale,2026-04-26,NK-AP-IC-6085,1129.27263411137,941.0605284261417,NORM,180.03209231909852,216.03851078291822,Sportswear Icon Clash,Apparel,Mature,915.1238144035184,900.1604615954925,0.9833770161583146,1525.2331264734366,180.03209231909852,0
Baseline FY26,EMEA,Digital,2026-05-03,NK-AP-TJ-3106,8368.475376001776,6973.729480001481,NORM,1545.8520705749725,1855.0224846899669,Tech Fleece Joggers M,Apparel,Growth,7604.637324285661,7729.260352874862,0.9838764612783617,14335.279032286777,1545.8520705749725,0
Baseline FY26,Greater China,Wholesale,2026-05-10,NK-ZP-40-4704,2317.939727818489,1931.6164398487408,NORM,360.28111448480945,432.3373373817713,Air Zoom Pegasus 40,Footwear,New Launch,1779.1378891110965,1801.4055724240473,0.9876387174249792,3556.873405117862,360.28111448480945,0
Baseline FY26,APLA,Direct-to-Consumer,2026-05-17,NK-BK-JA1-3909,11256.051946229063,9380.043288524219,NORM,1849.4694291952187,2219.3633150342625,Ja 1,Footwear,Mature,9069.537705457291,9247.347145976093,0.9807718432419643,27685.145698967066,1849.4694291952187,0
Baseline FY26,North America,Digital,2026-03-01,NK-AP-SFJ-5179,13122.92389809311,10935.769915077592,NORM,1893.1868182911226,2271.824181949347,Storm-FIT Jacket,Apparel,Mature,11950.668523557231,9465.934091455612,0.7375077400608088,26762.36054687364,1893.1868182911226,0
Baseline FY26,Greater China,Wholesale,2026-03-08,NK-RT-3-5509,10859.375605666193,9049.479671388495,NORM,2057.3191533306226,2468.782983996747,React Phantom Run 3,Footwear,New Launch,8172.837873342892,10286.595766653112,0.7945133704813637,28717.196959118308,2057.3191533306226,1
Baseline FY26,APLA,Direct-to-Consumer,2026-03-15,NK-RA-RM-8233,3232.0760000105834,2693.3966666754864,NORM,547.8738340505314,657.4486008606376,Dri-FIT Running Shirt M,Apparel,Mature,2479.164046470682,2739.3691702526567,0.9050127574597857,7982.524041446328,547.8738340505314,0
Baseline FY26,Greater China,Digital,2026-03-22,NK-RA-RM-6803,12738.223197641364,10615.18599803447,NORM,2267.0129334398607,2720.4155201278327,Dri-FIT Running Shirt M,Apparel,Growth,11671.033811592988,11335.064667199304,0.9703601916479673,33966.35515953049,2267.0129334398607,0
Baseline FY26,EMEA,Wholesale,2026-03-29,NK-AP-IC-4170,18646.207038822824,15538.505865685687,NORM,2954.8504086173198,3545.8204903407836,Sportswear Icon Clash,Apparel,New Launch,16673.22310493148,14774.252043086597,0.8714675330902129,39941.9160238035,2954.8504086173198,1
Baseline FY26,North America,Wholesale,2026-04-05,NK-SB-DLP-7225,1000.9744236262263,834.1453530218553,NORM,145.9349322117541,175.12191865410492,SB Dunk Low Pro,Footwear,Growth,785.9011577463626,729.6746610587705,0.9229430598480609,1206.5607444302027,145.9349322117541,0
Baseline FY26,Greater China,Wholesale,2026-04-12,NK-AM-270-3487,17180.671185950945,14317.225988292454,NORM,3045.1745529286645,3654.209463514397,Air Max 270,Footwear,New Launch,13396.830574408534,15225.872764643322,0.8798727522219884,26360.585846961978,3045.1745529286645,0
Baseline FY26,North America,Wholesale,2026-04-19,NK-AP-YLL-3315,15414.13751102011,12845.114592516758,NORM,2280.5592375155284,2736.671085018634,Yoga Luxe Leggings,Apparel,Decline,12080.220910367283,11402.796187577642,0.9405913504331826,13652.515342749248,2280.5592375155284,1
Baseline FY26,EMEA,Direct-to-Consumer,2026-04-26,NK-BZ-77-7334,6150.189353043641,5125.157794203034,NORM,1089.6360468197568,1307.563256183708,Blazer Mid '77,Footwear,New Launch,5079.366783876525,5448.180234098783,0.9323052038708359,11906.09644851015,1089.6360468197568,0
Baseline FY26,APLA,Digital,2026-05-03,NK-AP-ECT-7149,2849.838462308535,2374.8653852571124,NORM,495.8254836129073,594.9905803354887,Element Crew Top,Apparel,Growth,2270.414009452053,2479.1274180645364,0.915811746063691,5545.603693110278,495.8254836129073,1
Baseline FY26,Greater China,Direct-to-Consumer,2026-05-10,NK-RA-RW-2259,19630.847039383792,16359.039199486495,NORM,3570.168056377305,4284.201667652766,Dri-FIT Running Shirt W,Apparel,Mature,16018.598126892966,17850.840281886525,0.8973582124953099,43636.06297194596,3570.168056377305,0
Baseline FY26,Greater China,Digital,2026-05-17,NK-VF-3-2050,20954.35559918684,17461.962999322368,NORM,3872.1734964288426,4646.608195714611,Vaporfly 3,Footwear,New Launch,16946.399414363368,19360.86748214421,0.8752913282420008,37204.70174937461,3872.1734964288426,1
Baseline FY26,Greater China,Digital,2026-03-01,NK-RA-RM-6972,13888.707050444036,11573.922542036697,NORM,2643.024901876469,3171.6298822517624,Dri-FIT Running Shirt M,Apparel,New Launch,11731.444537576954,13215.124509382344,0.8877286422271677,23088.528257775495,2643.024901876469,0
Baseline FY26,APLA,Wholesale,2026-03-08,NK-AP-ECT-8618,11439.07161333925,9532.559677782709,NORM,2041.3891752440938,2449.6670102929124,Element Crew Top,Apparel,New Launch,8920.586537615138,10206.945876220469,0.8739721603107338,18993.32318225708,2041.3891752440938,0
Baseline FY26,APLA,Wholesale,2026-03-15,NK-RA-RW-4146,3464.4526835434435,2887.0439029528698,NORM,537.8807836417092,645.456940370051,Dri-FIT Running Shirt W,Apparel,New Launch,2918.6248019002905,2689.4039182085457,0.9147688890687597,6420.24148253837,537.8807836417092,0
Baseline FY26,EMEA,Direct-to-Consumer,2026-03-22,NK-AP-IC-3742,13667.731699494007,11389.776416245006,NORM,1974.8321614588183,2369.798593750582,Sportswear Icon Clash,Apparel,Mature,10313.593606620818,9874.16080729409,0.9554966940580798,25985.43442932468,1974.8321614588183,0
Baseline FY26,Greater China,Direct-to-Consumer,2026-03-29,NK-BZ-77-9236,14252.925840564845,11877.438200470704,NORM,2287.8466219316165,2745.41594631794,Blazer Mid '77,Footwear,Mature,12579.363220936591,11439.233109658082,0.9003315956280404,20320.392525356074,2287.8466219316165,0
Baseline FY26,Greater China,Digital,2026-04-05,NK-ZP-40-7569,6960.44608504868,5800.371737540567,NORM,1030.9793066391696,1237.1751679670035,Air Zoom Pegasus 40,Footwear,Decline,5856.483281174529,5154.896533195848,0.8638989660683407,12657.341935003218,1030.9793066391696,0
Baseline FY26,APLA,Direct-to-Consumer,2026-04-12,NK-AP-PDF-5794,9473.229314140783,7894.357761783986,NORM,1573.0259455983676,1887.631134718041,Pro Dri-FIT Tight,Apparel,New Launch,8490.069396549956,7865.129727991837,0.9205429929103431,20765.390382316764,1573.0259455983676,0
Baseline FY26,North America,Wholesale,2026-04-19,NK-AP-ACG-8826,13080.744525847884,10900.62043820657,NORM,2442.5023460045627,2931.002815205475,ACG Mountain Fly,Apparel,Mature,11313.870648331622,12212.511730022812,0.9264163587673777,32233.65626093713,2442.5023460045627,0
Baseline FY26,North America,Direct-to-Consumer,2026-04-26,NK-AP-ECT-6563,6716.557133041358,5597.130944201132,NORM,1142.6378516769544,1371.1654220123453,Element Crew Top,Apparel,Growth,5516.216286253325,5713.189258384771,0.9655231144596925,16380.739657506654,1142.6378516769544,0
Baseline FY26,Greater China,Digital,2026-05-03,NK-AP-ECT-8120,16147.930519976348,13456.608766646958,NORM,2519.9849474171024,3023.9819369005227,Element Crew Top,Apparel,Mature,12195.969749870988,12599.924737085512,0.9679398888768314,26530.585269514748,2519.9849474171024,0
Baseline FY26,APLA,Wholesale,2026-05-10,NK-AM-PLS-8865,3123.113122493318,2602.5942687444317,NORM,496.48427118229324,595.7811254187519,Air Max Plus,Footwear,New Launch,2741.645519557129,2482.421355911466,0.8955760821875124,4405.371175865734,496.48427118229324,0
Baseline FY26,Greater China,Direct-to-Consumer,2026-05-17,NK-BK-KD16-1627,15943.053188034302,13285.877656695253,NORM,2498.8889812507828,2998.666777500939,KD16,Footwear,Decline,14439.324859192871,12494.444906253913,0.8443404274834589,22026.315226157203,2498.8889812507828,0
Baseline FY26,APLA,Wholesale,2026-03-01,NK-AP-YLL-3544,15082.670294116804,12568.891911764003,NORM,2320.359652148973,2784.4315825787676,Yoga Luxe Leggings,Apparel,Decline,13471.873288012635,11601.798260744865,0.8388116234019305,20809.614892337453,2320.359652148973,0
Baseline FY26,Greater China,Wholesale,2026-03-08,NK-BK-L21-8753,11558.81531126425,9632.346092720209,NORM,1884.5496573493363,2261.4595888192034,LeBron XXI,Footwear,New Launch,9410.869939978473,9422.74828674668,0.9987393967867193,26733.49458742331,1884.5496573493363,0
Baseline FY26,APLA,Wholesale,2026-03-15,NK-JD-SL3-3620,20120.538914937613,16767.11576244801,NORM,3840.293081243033,4608.351697491639,Jordan Stay Loyal 3,Footwear,Growth,16685.12847354078,19201.465406215164,0.8689507868571379,43058.06418195832,3840.293081243033,0
Baseline FY26,Greater China,Direct-to-Consumer,2026-03-22,NK-MT-9-2516,9385.270395993919,7821.0586633282655,NORM,1715.1797502579482,2058.2157003095376,Metcon 9 Amp,Footwear,New Launch,7596.446418713618,8575.89875128974,0.8857901240463198,17072.806309075306,1715.1797502579482,0
Baseline FY26,APLA,Direct-to-Consumer,2026-03-29,NK-AP-ECT-2427,6275.380624801729,5229.483854001441,NORM,1079.4378301247011,1295.3253961496414,Element Crew Top,Apparel,Growth,5693.017214769938,5397.189150623505,0.9451884942531137,9685.731913799551,1079.4378301247011,0
Baseline FY26,Greater China,Digital,2026-04-05,NK-BK-KD16-8694,18534.113013903712,15445.094178253094,NORM,3335.4717967506326,4002.566156100759,KD16,Footwear,Mature,16310.335136096832,16677.35898375316,0.9779926876903065,23003.06179299194,3335.4717967506326,0
Baseline FY26,EMEA,Direct-to-Consumer,2026-04-12,NK-RA-RM-5222,21880.39815596242,18233.665129968682,NORM,3212.2650269563196,3854.718032347583,Dri-FIT Running Shirt M,Apparel,Decline,17228.087056630076,16061.325134781597,0.9273558120480483,28834.311538940052,3212.2650269563196,0
