raw_product,dc,on_hand_units,demand_forecast,safety_stock,sku,utilization,velocity,inv_cluster,region,in_transit_units,safety_stock_level,max_stock_level,days_of_supply,carrying_cost_per_unit,last_replenishment_date
Element Crew Top,Greater China DC - 03,24434.604100616616,26878.06451067828,3665.1906150924924,NK-AP-ECT-1962,71.1494615682736,2.512136464408888,1,Greater China,6591.763147737452,3665.1906150924924,61086.51025154154,43,3.181127383819493,2026-03-17
Storm-FIT Jacket,APLA DC - 03,45996.30059751755,50595.93065726931,6899.445089627632,NK-AP-SFJ-2692,77.31850257239398,3.030073463246755,3,APLA,7795.7713392351225,6899.445089627632,114990.75149379387,31,4.166680817584569,2026-03-17
Pro Dri-FIT Tight,EMEA DC - 02,35695.13442971131,39264.64787268244,5354.270164456696,NK-AP-PDF-4195,62.64579634870119,4.046806062726066,2,EMEA,10693.537795386459,5354.270164456696,89237.83607427828,21,2.2808128493808177,2026-03-19
Sportswear Icon Clash,North America DC - 03,25168.637896319422,27685.501685951367,3775.295684447913,NK-AP-IC-8458,80.96042243121398,1.1135866081710337,1,North America,2598.458099894276,3775.295684447913,62921.59474079855,49,3.95856222854918,2026-03-14
Air Max 90,North America DC - 02,8932.072360168097,9825.279596184908,1339.8108540252144,NK-AM-90-2085,78.52717016049513,1.0650390142601165,3,North America,2207.2194282073788,1339.8108540252144,22330.18090042024,58,3.1230233483466883,2026-03-18
Dri-FIT Running Shirt W,EMEA DC - 01,19728.179997310326,21700.99799704136,2959.226999596549,NK-RA-RW-7408,86.56227927619588,0.9326679567183465,3,EMEA,2649.418566772511,2959.226999596549,49320.44999327582,10,3.938852020215718,2026-03-12
Storm-FIT Jacket,EMEA DC - 02,44789.34242592245,49268.2766685147,6718.401363888367,NK-AP-SFJ-1557,82.72340764116656,1.90793528907226,3,EMEA,13171.989865792875,6718.401363888367,111973.35606480612,24,4.42704813501534,2026-03-10
Dri-FIT Running Shirt W,APLA DC - 01,26251.03202171954,28876.135223891495,3937.654803257931,NK-RA-RW-7033,88.96046010634073,2.4356047034898203,1,APLA,7468.476668625345,3937.654803257931,65627.58005429886,10,2.606477094217218,2026-03-12
Air Zoom Pegasus 40,Greater China DC - 02,21268.160408385742,23394.97644922432,3190.224061257861,NK-ZP-40-2437,79.9022723042626,3.0518876573329177,3,Greater China,3297.6418925969742,3190.224061257861,53170.40102096435,42,2.2737323187822107,2026-03-12
SB Dunk Low Pro,North America DC - 03,17802.723537909314,19582.995891700248,2670.408530686397,NK-SB-DLP-1517,81.80708613399722,4.6025115145216455,1,North America,1938.7306177195983,2670.408530686397,44506.80884477329,33,2.799496318188743,2026-03-16
Pro Dri-FIT Tight,APLA DC - 01,14231.599255419429,15654.759180961373,2134.7398883129144,NK-AP-PDF-3581,88.96324894201891,0.9242544252733118,1,APLA,1936.2651852500214,2134.7398883129144,35578.99813854857,46,3.041846932944771,2026-03-16
