Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-52404,Greater China,2026-W14,NK-AM-270-5819,4390.829573733958,1881.7841030288391,6272.613676762798,6272.613676762798,3136.306838381399
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-65590,APLA,2026-W14,NK-MT-9-4199,2282.6986723575046,978.2994310103591,3260.9981033678637,3260.9981033678637,1630.4990516839318
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-94590,APLA,2026-W14,NK-AP-TJ-3430,6951.803078007259,2979.344176288825,9931.147254296084,9931.147254296084,4965.573627148042
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-66654,Greater China,2026-W14,NK-RA-RW-8746,1928.0449448871343,826.3049763802005,2754.349921267335,2754.349921267335,1377.1749606336675
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-52453,APLA,2026-W14,NK-SB-DLP-6768,5345.9388176156235,2291.1166361209816,7637.055453736605,7637.055453736605,3818.5277268683026
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-88678,EMEA,2026-W14,NK-IV-3-2556,5406.460913017786,2317.0546770076226,7723.515590025409,7723.515590025409,3861.7577950127047
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-68063,Greater China,2026-W14,NK-CV-L-3601,1393.739486828007,597.3169229262888,1991.056409754296,1991.056409754296,995.528204877148
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-24339,APLA,2026-W14,NK-BK-KD16-5572,5640.675575187294,2417.4323893659835,8058.107964553278,8058.107964553278,4029.053982276639
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-72407,North America,2026-W14,NK-BK-JA1-7095,2945.9849175603176,1262.5649646687077,4208.549882229026,4208.549882229026,2104.274941114513
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-22134,North America,2026-W14,NK-AP-TJ-2988,6150.202523788314,2635.8010816235633,8786.003605411877,8786.003605411877,4393.001802705939
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-73003,APLA,2026-W14,NK-AP-ACG-5414,3063.861984662029,1313.083707712298,4376.945692374327,4376.945692374327,2188.4728461871637
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-26400,North America,2026-W14,NK-AP-PDF-2863,2374.4052832197926,1017.602264237054,3392.0075474568466,3392.0075474568466,1696.0037737284233
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-68107,EMEA,2026-W14,NK-AP-YLL-4934,3326.186373177613,1425.5084456475486,4751.694818825162,4751.694818825162,2375.847409412581
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-60749,North America,2026-W14,NK-BZ-77-1514,4123.262817992426,1767.1126362824684,5890.375454274895,5890.375454274895,2945.1877271374474
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-30377,APLA,2026-W14,NK-MT-9-8067,3870.692183905036,1658.868078816444,5529.56026272148,5529.56026272148,2764.78013136074
