sku,product_name,category,channel,region,lifecycle_stage,week_start_date,baseline_forecast,ai_forecast,actual_sales,forecast_accuracy,inventory_on_hand,safety_stock,on_promo
NK-ZP-496,Air Zoom Pegasus 40,Footwear,Digital,Greater China,New Launch,2026-03-01,49226.29788544498,44588.79929748294,43667.8731740482,0.9789106714731863,46252.25070033659,6550.18097610723,False
NK-EC-173,Element Crew Top,Apparel,Wholesale,EMEA,New Launch,2026-03-08,27734.002131505003,26206.59645318728,27221.91335528049,0.9627022212273607,49464.37420418517,4083.287003292073,False
NK-AC-272,ACG Mountain Fly,Apparel,Digital,EMEA,Decline,2026-03-15,42088.21533413359,44106.08428660918,36313.12492871742,0.7853955181992925,65746.1402693703,5446.968739307613,False
NK-CV-597,Court Vision Low,Footwear,Wholesale,EMEA,New Launch,2026-03-22,14114.85979997982,13914.903208228829,13867.516304190569,0.9965828845628297,9510.42703587914,2080.127445628585,False
NK-AP-TJ733,Tech Fleece Joggers M,Apparel,Wholesale,EMEA,Decline,2026-03-01,41968.985138756594,43052.35605781586,45571.32556348295,0.9447246821434226,25022.544271732775,6835.698834522442,False
NK-RA-W975,Dri-FIT Running Shirt W,Apparel,Direct-to-Consumer,APLA,Growth,2026-03-08,24979.671142169816,24166.158444068333,22541.719029078038,0.9279363116497538,44734.995826234765,3381.2578543617055,False
NK-RA-M566,Dri-FIT Running Shirt M,Apparel,Wholesale,APLA,Growth,2026-03-15,1747.565363068239,1691.634059152795,1615.074148768783,0.9525966591426308,973.1851803846292,242.26112231531744,False
NK-AC-806,ACG Mountain Fly,Apparel,Direct-to-Consumer,Greater China,New Launch,2026-03-22,29482.71242625413,27251.989433821447,25656.9944355004,0.9378339110478925,49677.2377120626,3848.54916532506,False
NK-RA-M952,Dri-FIT Running Shirt M,Apparel,Wholesale,EMEA,Decline,2026-03-01,30973.612054795198,30628.984746948023,30633.41659635434,0.999855326310326,23151.995783827922,4595.012489453151,False
NK-EC-516,Element Crew Top,Apparel,Direct-to-Consumer,APLA,New Launch,2026-03-08,23926.174001324853,21924.1850860042,23287.969364869885,0.9414382483290722,43910.516703165355,3493.1954047304826,False
NK-BZ-245,Blazer Mid '77,Footwear,Direct-to-Consumer,EMEA,Decline,2026-03-15,45375.375963071005,45592.05479309038,44564.811571655744,0.9769494543967064,60932.62790640768,6684.721735748361,False
NK-AP-TJ308,Tech Fleece Joggers M,Apparel,Direct-to-Consumer,EMEA,Growth,2026-03-22,24784.57055131988,25812.538304215657,21403.567495517247,0.7940076667302391,42664.5909840501,3210.535124327587,False
NK-EC-792,Element Crew Top,Apparel,Direct-to-Consumer,Greater China,New Launch,2026-03-01,16216.26225651505,14779.53695017622,14303.925908556606,0.9667496151294308,25135.71835379394,2145.588886283491,False
NK-SB-730,SB Dunk Low Pro,Footwear,Wholesale,APLA,Decline,2026-03-08,26506.763606035936,28960.791807833968,24279.078238699825,0.8071708685516863,13229.877474236455,3641.8617358049737,True
NK-RA-W283,Dri-FIT Running Shirt W,Apparel,Digital,North America,New Launch,2026-03-15,30691.72579807474,28342.56816504314,28712.600982644923,0.9871125288222601,20644.30050043696,4306.890147396738,False
NK-BZ-876,Blazer Mid '77,Footwear,Direct-to-Consumer,Greater China,Decline,2026-03-22,37973.13759061324,35232.41592673568,43542.56682891864,0.8091488052407649,78034.97039299342,6531.3850243377965,True
NK-VF-167,Vaporfly 3,Footwear,Wholesale,North America,New Launch,2026-03-01,45719.3172756528,44722.69354982287,50841.663837807704,0.879646537385062,27455.441465567088,7626.249575671155,False
NK-RA-W600,Dri-FIT Running Shirt W,Apparel,Digital,APLA,Decline,2026-03-08,30912.303479465976,29222.446638734444,26925.410212303046,0.9146888976502274,30934.408813262395,4038.8115318454566,False
NK-IC-359,Sportswear Icon Clash,Apparel,Wholesale,APLA,Decline,2026-03-15,43976.690610141624,46996.95518006803,44228.300246060535,0.9374008289126123,33248.16665946316,6634.24503690908,False
NK-EC-522,Element Crew Top,Apparel,Direct-to-Consumer,North America,Mature,2026-03-22,37355.02795978018,38491.812397909525,40359.35775806233,0.9537270793220257,31377.75556577219,6053.9036637093495,True
NK-AC-494,ACG Mountain Fly,Apparel,Direct-to-Consumer,Greater China,Growth,2026-03-01,8634.6954242172,7925.851497181183,9128.505399281708,0.8682529231789513,13806.867304195703,1369.2758098922561,False
